ITEMID,ITEMNAME,VEHICLETYPE,ITEMBRAND,LISTPRICE,DISCOUNT
STD-157A,SIDE STAND,APACHE,SG,120,43
STD-158,SIDE STAND,CBZ,SG,120,43
STD-159,SIDE STAND,FIERO,SG,115,43
STD-159A,SIDE STAND,VICTOR,SG,117,43
STD-159B,SIDE STAND,PULSAR,SG,120,43
STD-159C,SIDE STAND,PULSAR DTSI,SG,120,43
STD-159D,SIDE STAND,VICTOR GL,SG,120,43
STD-159E,SIDE STAND,FREEDOM, SG,160,43
STD-159F,SIDE STANDE,DISCOVER,SG,120,43
STD-159H,SIDE STAND,UNICORN,SG,120,43
STD-159I,SIDE STAND,STAR CITY,SG,120,43
STD-159J,SIDE STAND,DTSI  A/W,SG,120,43
STD-159G,SIDE STAND,PUL DIGITAL,SG,135,43
STD -159 K,SIDE STAND,KIN HH,SG,244,43
STD-159L,SIDE STAND,M  80 MAJOR,SG,174,43
STD-160,BRAKE PEDAL,HH,SG,202,43
STD-160 A,BRAKE PEDAL,SPLENDOR,SG,207,43
STD-161 ,BRAKE PEDAL,SUP SPL,SG,212,43
STD-161A,BRAKE PEDAL,CBZ,SG,287,43
STD-163,BRAKE PEDAL,RX 100,SG,198,43
STD-163A,BRAKE PEDAL,CRUX  YBX,SG,215,43
STD-164,BRAKE PEDAL,CRUX  R,SG,222,43
STD-164A,BRAKE PEDAL,LIBERO,SG,287,43
STD-165,BRAKE PEDAL,KB 4S,SG,255,43
STD-165B,BRAKE PEDAL,CT 100,SG,255,43
STD-165C,BRAKE PEDAL,CT 100  PLATINA,SG,255,43
STD-166,BRAKE PEDAL,PUL 150 /180,SG,233,43
STD-166A,BRAKE PEDAL,DISCOVER 125,SG,245,43
STD-166B,BRAKE PEDAL,DISCOVER 112,SG,275,43
STD-166C,BRAKE PEDAL,XCD,SG,254,43
STD-343,BATTERY STAND,KB-4S,SG,92.4,43
STD-345,BATTERY STAND PATTI,KB-4S,SG,19.25,43
STD-346,BATTERY STAND PATTI,SPL,SG,19.25,43
STD-351,HANDLE T,CD-100 OE,SG,580,43
STD-352,HANDLE T,SS OE,SG,580,43
STD-353,HANDLE T,SPL,SG,580,43
STD-354,HANDLE T,CBZ,SG,580,43
STD-355,HANDLE T,CD-DAWN,SG,580,43
STD-356,HANDLE T,KB-100,SG,580,43
STD-357,HANDLE T,KB-4S,SG,580,43
STD-358,HANDLE T,CALIBER,SG,580,43
STD-359,HANDLE T,CT-DELUX,SG,580,43
STD-360,HANDLE T,PUL-150/180,SG,580,43
STD-362,HANDLE T,115,SG,580,43
STD-362A,HANDLE T,CT-100,SG,580,43
STD-362B,HANDLE T,PUL-DTSI,SG,580,43
STD-362C,HANDLE T,DISCOVER,SG,580,43
STD-363,HANDLE T,SUZUKI/SAMURAI,SG,580,43
STD-364,HANDLE T,VICTOR,SG,580,43
STD-365,HANDLE T,CENTRA,SG,580,43
STD-366,HANDLE T, RX-100,SG,580,43
STD-367,HANDLE T,CRUX,SG,580,43
STD-368,HANDLE T,FREEDOM,SG,580,43
STD-369,HANDLE T,TVS-STAR,SG,580,43
STD-370,HANDLE T,ADRENO,SG,580,43
STD-370A,HANDLE T,S-SPL,SG,580,43
STD-370B,HANDLE T,GLAMOUR,SG,580,43
STD-370C,HANDLE T,LIBRO,SG,580,43
